sample_id,user_id,age,gender,user_tag,initial_need,date,time,hour,weekday,date_type,time_slot,place_type,activity_state,heart_rate_zone,heart_rate_bpm,heart_rate_trend,sleep_minutes_last_night,sleep_quality,recent_workout_minutes_24h,breathing_rate,steps_last_10min,weather,light_lux,light_class,noise_db,noise_class,bluetooth,network,calendar_title,calendar_start_time,calendar_location,calendar_note,app_event,dwell_time_sec,next_action,user_correction_from,user_correction_to,multiday_consistency,conflict_flag,conflict_reason,confusable_group,ground_truth,ground_truth_id,gt_confidence,context_text
s00314,user_12,35,女性,女性,情绪和身体舒缓,2026-05-12,22:58,22,周二,工作日,深夜,酒店,静止,静息,57,波动,314,一般,27,19,19,大雪,20,暗光,35,安静,家用音响,蜂窝数据,,,,,睡眠记录开始,5978,发起导航,,,0.825,False,,深睡眠/睡午觉/婴儿安睡,深睡眠,7,0.92,"周二 深夜 22:58，地点类型=酒店，运动状态=静止，心率=静息(57bpm,波动)，天气=大雪，光线=暗光，噪音=安静，蓝牙=家用音响，网络=蜂窝数据，后续事件=睡眠记录开始"
s00504,user_13,33,女性,女性,情绪和身体舒缓,2026-05-07,08:24,8,周四,工作日,早晨,酒店,静止,稍高,95,上升,318,好,8,21,23,晴,35,暗光,35,安静,家用音响,wifi,休息,2026-05-07 08:24,酒店,休息,健康App经期记录,2398,无,,,0.293,False,,人群专属,经期舒缓,12,0.92,"周四 早晨 08:24，地点类型=酒店，运动状态=静止，心率=稍高(95bpm,上升)，天气=晴，光线=暗光，噪音=安静，蓝牙=家用音响，网络=wifi，日历=休息，后续事件=健康App经期记录"
s00095,user_03,26,女性,母婴用户,家庭睡眠照护,2026-05-21,07:24,7,周四,工作日,早晨,商场,高速,稍高,92,稳定,439,一般,90,10,2155,晴,1104,明亮,85,嘈杂,耳机,蜂窝数据,健身课,2026-05-21 07:24,商场,健身课,健身记录开始,3183,收藏,,,0.668,True,运动类场景但心率未达到高强度,健身/跑步,健身,2,0.74,"周四 早晨 07:24，地点类型=商场，运动状态=高速，心率=稍高(92bpm,稳定)，天气=晴，光线=明亮，噪音=嘈杂，蓝牙=耳机，网络=蜂窝数据，日历=健身课，后续事件=健身记录开始"
s00340,user_10,45,女性,任意,日常音乐推荐,2026-05-16,20:17,20,周六,周末,晚上,住宅区,静止,稍高,112,波动,408,好,29,12,15,晴,24,暗光,56,普通,耳机,wifi,项目截止,2026-05-16 20:17,住宅区,项目截止,健康App呼吸训练,3122,调低音量,,,0.63,False,,放松/减压/深夜EMO,减压,8,0.92,"周六 晚上 20:17，地点类型=住宅区，运动状态=静止，心率=稍高(112bpm,波动)，天气=晴，光线=暗光，噪音=普通，蓝牙=耳机，网络=wifi，日历=项目截止，后续事件=健康App呼吸训练"
s00451,user_01,41,女性,养宠物,陪伴和放松,2026-05-06,07:54,7,周三,工作日,早晨,户外,静止,稍高,80,波动,335,一般,0,12,15,晴,333,室内柔光,46,普通,家用音响,wifi,,,,,宠物App打开,2433,继续播放,,,0.858,False,,人群专属,宠物陪伴,11,0.92,"周三 早晨 07:54，地点类型=户外，运动状态=静止，心率=稍高(80bpm,波动)，天气=晴，光线=室内柔光，噪音=普通，蓝牙=家用音响，网络=wifi，后续事件=宠物App打开"
s00209,user_20,26,女性,母婴用户,家庭睡眠照护,2026-05-06,10:03,10,周三,工作日,上午,写字楼,静止,稍高,112,波动,258,好,19,14,76,小雨,337,室内柔光,64,普通,耳机,wifi,会议,2026-05-06 10:03,写字楼,会议,办公App前台,6211,调低音量,,,0.949,False,,图书馆/专注/阅读,专注,5,0.92,"周三 上午 10:03，地点类型=写字楼，运动状态=静止，心率=稍高(112bpm,波动)，天气=小雨，光线=室内柔光，噪音=普通，蓝牙=耳机，网络=wifi，日历=会议，后续事件=办公App前台"
s00519,user_12,37,女性,女性,情绪和身体舒缓,2026-05-02,20:09,20,周六,周末,晚上,酒店,静止,静息,65,上升,351,差,27,14,15,小雨,263,室内柔光,44,安静,耳机,wifi,休息,2026-05-02 20:09,酒店,休息,健康App经期记录,1008,切歌,,,0.469,False,,人群专属,经期舒缓,12,0.92,"周六 晚上 20:09，地点类型=酒店，运动状态=静止，心率=静息(65bpm,上升)，天气=小雨，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，日历=休息，后续事件=健康App经期记录"
s00246,user_11,36,女性,养宠物,陪伴和放松,2026-05-09,10:10,10,周六,周末,上午,图书馆,静止,静息,56,波动,353,差,5,13,23,多云,1132,明亮,33,安静,耳机,wifi,,,,,浏览器长阅读,4014,收藏,,,0.559,False,,图书馆/专注/阅读,阅读,6,0.87,"周六 上午 10:10，地点类型=图书馆，运动状态=静止，心率=静息(56bpm,波动)，天气=多云，光线=明亮，噪音=安静，蓝牙=耳机，网络=wifi，后续事件=浏览器长阅读"
s00053,user_21,29,女性,母婴用户,家庭睡眠照护,2026-05-22,20:01,20,周五,工作日,晚上,图书馆,静止,静息,61,下降,247,差,19,11,0,多云,605,明亮,38,安静,耳机,蜂窝数据,复习,2026-05-22 20:01,图书馆,复习,电子书App打开,4730,无,,,0.756,False,,图书馆/专注/阅读,图书馆,1,0.87,"周五 晚上 20:01，地点类型=图书馆，运动状态=静止，心率=静息(61bpm,下降)，天气=多云，光线=明亮，噪音=安静，蓝牙=耳机，网络=蜂窝数据，日历=复习，后续事件=电子书App打开"
s00170,user_09,25,女性,女性,情绪和身体舒缓,2026-05-22,14:15,14,周五,工作日,下午,住宅区,静止,波动,106,稳定,458,一般,32,19,48,晴,39,暗光,32,安静,耳机,wifi,休息,2026-05-22 14:15,住宅区,休息,游戏App前台,2263,切歌,,,0.297,False,,游戏,游戏,4,0.92,"周五 下午 14:15，地点类型=住宅区，运动状态=静止，心率=波动(106bpm,稳定)，天气=晴，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，日历=休息，后续事件=游戏App前台"
s00152,user_02,43,男性,任意,日常音乐推荐,2026-05-04,08:39,8,周一,工作日,早晨,在途,中速,稍高,96,上升,327,好,20,10,737,晴,126,室内柔光,49,普通,车载蓝牙,蜂窝数据,会议,2026-05-04 08:39,在途,会议,打车App打开,2837,切歌,,,0.552,False,,通勤,通勤,3,0.92,"周一 早晨 08:39，地点类型=在途，运动状态=中速，心率=稍高(96bpm,上升)，天气=晴，光线=室内柔光，噪音=普通，蓝牙=车载蓝牙，网络=蜂窝数据，日历=会议，后续事件=打车App打开"
s00559,user_06,28,女性,母婴用户,家庭睡眠照护,2026-04-23,14:52,14,周四,工作日,下午,酒店,静止,静息,71,下降,412,好,13,10,31,晴,1,暗光,43,安静,耳机,wifi,,,,,屏幕熄灭后持续播放,2050,调低音量,,,0.577,False,,深睡眠/睡午觉/婴儿安睡,睡午觉,13,0.92,"周四 下午 14:52，地点类型=酒店，运动状态=静止，心率=静息(71bpm,下降)，天气=晴，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，后续事件=屏幕熄灭后持续播放"
s00196,user_14,38,女性,任意,日常音乐推荐,2026-04-24,22:04,22,周五,工作日,深夜,酒店,静止,稍高,107,波动,394,好,1,14,12,小雨,18,暗光,59,普通,耳机,蜂窝数据,休息,2026-04-24 22:04,酒店,休息,游戏App前台,5051,调低音量,,,0.334,False,,游戏,游戏,4,0.92,"周五 深夜 22:04，地点类型=酒店，运动状态=静止，心率=稍高(107bpm,波动)，天气=小雨，光线=暗光，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=休息，后续事件=游戏App前台"
s00248,user_15,34,女性,女性,情绪和身体舒缓,2026-04-26,22:42,22,周日,周末,深夜,公园,静止,静息,60,波动,483,好,32,17,58,多云,1025,明亮,43,安静,耳机,wifi,,,,,浏览器长阅读,4547,发起导航,,,0.708,False,,图书馆/专注/阅读,阅读,6,0.92,"周日 深夜 22:42，地点类型=公园，运动状态=静止，心率=静息(60bpm,波动)，天气=多云，光线=明亮，噪音=安静，蓝牙=耳机，网络=wifi，后续事件=浏览器长阅读"
s00606,user_18,42,女性,养宠物,陪伴和放松,2026-05-01,07:53,7,周五,工作日,早晨,住宅区,静止,静息,62,波动,374,差,62,17,31,晴,269,室内柔光,37,安静,耳机,wifi,瑜伽课,2026-05-01 07:53,住宅区,瑜伽课,健身App瑜伽课程,3920,调低音量,,,0.541,False,,瑜伽/冥想,瑜伽,15,0.92,"周五 早晨 07:53，地点类型=住宅区，运动状态=静止，心率=静息(62bpm,波动)，天气=晴，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，日历=瑜伽课，后续事件=健身App瑜伽课程"
s00654,user_09,42,女性,养宠物,陪伴和放松,2026-05-03,22:30,22,周日,周末,深夜,住宅区,静止,静息,54,下降,242,一般,33,11,25,小雨,46,暗光,33,安静,家用音响,wifi,,,,,冥想App打开,1767,无,,,0.767,False,,瑜伽/冥想,冥想,16,0.92,"周日 深夜 22:30，地点类型=住宅区，运动状态=静止，心率=静息(54bpm,下降)，天气=小雨，光线=暗光，噪音=安静，蓝牙=家用音响，网络=wifi，后续事件=冥想App打开"
s00629,user_15,35,女性,女性,情绪和身体舒缓,2026-05-23,20:19,20,周六,周末,晚上,住宅区,慢速,稍高,107,波动,404,好,43,15,376,小雨,243,室内柔光,34,安静,耳机,蜂窝数据,瑜伽课,2026-05-23 20:19,住宅区,瑜伽课,健身App瑜伽课程,2665,切歌,,,0.455,False,,瑜伽/冥想,瑜伽,15,0.92,"周六 晚上 20:19，地点类型=住宅区，运动状态=慢速，心率=稍高(107bpm,波动)，天气=小雨，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=蜂窝数据，日历=瑜伽课，后续事件=健身App瑜伽课程"
s00619,user_23,29,女性,女性,情绪和身体舒缓,2026-05-15,07:37,7,周五,工作日,早晨,住宅区,静止,稍高,101,下降,516,差,72,15,22,多云,1172,明亮,35,安静,家用音响,wifi,拉伸,2026-05-15 07:37,住宅区,拉伸,健身App瑜伽课程,2799,无,,,0.327,False,,瑜伽/冥想,瑜伽,15,0.92,"周五 早晨 07:37，地点类型=住宅区，运动状态=静止，心率=稍高(101bpm,下降)，天气=多云，光线=明亮，噪音=安静，蓝牙=家用音响，网络=wifi，日历=拉伸，后续事件=健身App瑜伽课程"
s00024,user_13,34,男性,养宠物,陪伴和放松,2026-04-26,15:56,15,周日,周末,下午,住宅区,静止,静息,70,稳定,545,一般,10,11,7,小雨,32,暗光,54,普通,家用音响,wifi,,,,,短视频退出后停留,490,无,,,0.523,False,,放松/减压/深夜EMO,放松,0,0.92,"周日 下午 15:56，地点类型=住宅区，运动状态=静止，心率=静息(70bpm,稳定)，天气=小雨，光线=暗光，噪音=普通，蓝牙=家用音响，网络=wifi，后续事件=短视频退出后停留"
s00300,user_04,31,女性,女性,情绪和身体舒缓,2026-05-09,22:08,22,周六,周末,深夜,酒店,静止,静息,67,波动,456,好,25,18,50,小雨,39,暗光,32,安静,家用音响,蜂窝数据,,,,,屏幕熄灭后持续播放,27415,发起导航,,,0.64,False,,深睡眠/睡午觉/婴儿安睡,深睡眠,7,0.92,"周六 深夜 22:08，地点类型=酒店，运动状态=静止，心率=静息(67bpm,波动)，天气=小雨，光线=暗光，噪音=安静，蓝牙=家用音响，网络=蜂窝数据，后续事件=屏幕熄灭后持续播放"
s00241,user_20,25,女性,女性,情绪和身体舒缓,2026-05-19,10:13,10,周二,工作日,上午,酒店,静止,静息,70,稳定,406,好,26,20,2,多云,267,室内柔光,37,安静,耳机,wifi,,,,,电子书App打开,3573,发起导航,,,0.691,False,,图书馆/专注/阅读,阅读,6,0.92,"周二 上午 10:13，地点类型=酒店，运动状态=静止，心率=静息(70bpm,稳定)，天气=多云，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，后续事件=电子书App打开"
s00231,user_22,34,女性,女性,情绪和身体舒缓,2026-04-22,15:56,15,周三,工作日,下午,住宅区,静止,稍高,88,上升,416,差,28,20,5,多云,140,室内柔光,67,普通,耳机,wifi,会议,2026-04-22 15:56,住宅区,会议,番茄钟开始,3174,调低音量,,,0.677,False,,图书馆/专注/阅读,专注,5,0.92,"周三 下午 15:56，地点类型=住宅区，运动状态=静止，心率=稍高(88bpm,上升)，天气=多云，光线=室内柔光，噪音=普通，蓝牙=耳机，网络=wifi，日历=会议，后续事件=番茄钟开始"
s00565,user_13,21,男性,学生,学习专注,2026-04-25,06:16,6,周六,周末,早晨,户外,高速,高,167,波动,427,一般,11,18,2451,多云,530,明亮,49,普通,耳机,蜂窝数据,训练,2026-04-25 06:16,户外,训练,运动记录开始,3044,无,,,0.501,False,,健身/跑步,跑步,14,0.92,"周六 早晨 06:16，地点类型=户外，运动状态=高速，心率=高(167bpm,波动)，天气=多云，光线=明亮，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=训练，后续事件=运动记录开始"
s00702,user_24,27,女性,母婴用户,家庭睡眠照护,2026-05-14,23:01,23,周四,工作日,深夜,酒店,静止,稍高,82,下降,449,一般,8,22,50,晴,15,暗光,43,安静,耳机,wifi,失眠,2026-05-14 23:01,酒店,失眠,社交App深夜停留,1820,收藏,,,0.477,False,,放松/减压/深夜EMO,深夜EMO,17,0.92,"周四 深夜 23:01，地点类型=酒店，运动状态=静止，心率=稍高(82bpm,下降)，天气=晴，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，日历=失眠，后续事件=社交App深夜停留"
s00269,user_15,42,女性,养宠物,陪伴和放松,2026-05-15,15:03,15,周五,工作日,下午,住宅区,静止,静息,63,稳定,362,一般,2,13,13,晴,251,室内柔光,36,安静,家用音响,wifi,,,,,电子书App打开,2047,切歌,,,0.551,False,,图书馆/专注/阅读,阅读,6,0.92,"周五 下午 15:03，地点类型=住宅区，运动状态=静止，心率=静息(63bpm,稳定)，天气=晴，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，后续事件=电子书App打开"
s00245,user_22,23,男性,学生,学习专注,2026-05-10,11:38,11,周日,周末,上午,酒店,静止,静息,56,波动,524,差,20,20,63,晴,208,室内柔光,34,安静,家用音响,wifi,,,,,浏览器长阅读,3453,收藏,,,0.888,False,,图书馆/专注/阅读,阅读,6,0.92,"周日 上午 11:38，地点类型=酒店，运动状态=静止，心率=静息(56bpm,波动)，天气=晴，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，后续事件=浏览器长阅读"
s00336,user_19,24,男性,养宠物,陪伴和放松,2026-05-14,12:20,12,周四,工作日,中午,写字楼,静止,波动,106,下降,309,差,12,19,37,多云,10,暗光,68,普通,耳机,wifi,项目截止,2026-05-14 12:20,写字楼,项目截止,健康App呼吸训练,2550,切歌,,,0.884,False,,放松/减压/深夜EMO,减压,8,0.92,"周四 中午 12:20，地点类型=写字楼，运动状态=静止，心率=波动(106bpm,下降)，天气=多云，光线=暗光，噪音=普通，蓝牙=耳机，网络=wifi，日历=项目截止，后续事件=健康App呼吸训练"
s00482,user_05,31,女性,女性,情绪和身体舒缓,2026-04-28,21:08,21,周二,工作日,晚上,酒店,静止,静息,58,上升,533,一般,24,18,2,多云,37,暗光,41,安静,耳机,wifi,休息,2026-04-28 21:08,酒店,休息,健康App经期记录,4211,切歌,,,0.462,False,,人群专属,经期舒缓,12,0.92,"周二 晚上 21:08，地点类型=酒店，运动状态=静止，心率=静息(58bpm,上升)，天气=多云，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，日历=休息，后续事件=健康App经期记录"
s00493,user_13,23,女性,女性,情绪和身体舒缓,2026-05-20,20:36,20,周三,工作日,晚上,酒店,静止,静息,62,上升,306,差,33,19,6,小雨,161,室内柔光,38,安静,家用音响,wifi,经期提醒,2026-05-20 20:36,酒店,经期提醒,健康App经期记录,4831,继续播放,,,0.28,False,,人群专属,经期舒缓,12,0.92,"周三 晚上 20:36，地点类型=酒店，运动状态=静止，心率=静息(62bpm,上升)，天气=小雨，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，日历=经期提醒，后续事件=健康App经期记录"
s00123,user_23,38,男性,任意,日常音乐推荐,2026-04-25,18:04,18,周六,周末,晚上,在途,中速,稍高,111,下降,272,一般,3,14,969,晴,325,室内柔光,70,嘈杂,车载蓝牙,蜂窝数据,会议,2026-04-25 18:04,在途,会议,地图导航开始,2935,收藏,,,0.705,False,,通勤,通勤,3,0.92,"周六 晚上 18:04，地点类型=在途，运动状态=中速，心率=稍高(111bpm,下降)，天气=晴，光线=室内柔光，噪音=嘈杂，蓝牙=车载蓝牙，网络=蜂窝数据，日历=会议，后续事件=地图导航开始"
s00129,user_21,23,女性,养宠物,陪伴和放松,2026-05-08,18:17,18,周五,工作日,晚上,在途,慢速,稍高,102,上升,554,好,32,11,307,晴,89,室内柔光,73,嘈杂,车载蓝牙,蜂窝数据（弱）,会议,2026-05-08 18:17,在途,会议,地图导航开始,4386,继续播放,,,0.87,False,,通勤,通勤,3,0.92,"周五 晚上 18:17，地点类型=在途，运动状态=慢速，心率=稍高(102bpm,上升)，天气=晴，光线=室内柔光，噪音=嘈杂，蓝牙=车载蓝牙，网络=蜂窝数据（弱），日历=会议，后续事件=地图导航开始"
s00124,user_23,22,女性,任意,日常音乐推荐,2026-05-24,18:06,18,周日,周末,晚上,在途,静止,稍高,90,上升,472,好,31,12,37,多云,290,室内柔光,78,嘈杂,耳机,蜂窝数据,上班,2026-05-24 18:06,在途,上班,地图导航开始,4043,切歌,,,0.528,False,,通勤,通勤,3,0.92,"周日 晚上 18:06，地点类型=在途，运动状态=静止，心率=稍高(90bpm,上升)，天气=多云，光线=室内柔光，噪音=嘈杂，蓝牙=耳机，网络=蜂窝数据，日历=上班，后续事件=地图导航开始"
s00474,user_03,41,男性,养宠物,陪伴和放松,2026-04-26,08:41,8,周日,周末,早晨,户外,静止,静息,70,下降,279,好,16,15,26,多云,921,明亮,63,普通,耳机,蜂窝数据（弱）,遛宠,2026-04-26 08:41,户外,遛宠,宠物App打开,2180,发起导航,,,0.335,True,弱冲突样本，用于鲁棒性评测,人群专属,宠物陪伴,11,0.74,"周日 早晨 08:41，地点类型=户外，运动状态=静止，心率=静息(70bpm,下降)，天气=多云，光线=明亮，噪音=普通，蓝牙=耳机，网络=蜂窝数据（弱），日历=遛宠，后续事件=宠物App打开"
s00046,user_11,26,女性,养宠物,陪伴和放松,2026-05-06,20:50,20,周三,工作日,晚上,图书馆,静止,静息,54,波动,363,差,19,19,8,小雨,538,明亮,43,安静,耳机,wifi,复习,2026-05-06 20:50,图书馆,复习,电子书App打开,3281,调低音量,,,0.386,False,,图书馆/专注/阅读,图书馆,1,0.87,"周三 晚上 20:50，地点类型=图书馆，运动状态=静止，心率=静息(54bpm,波动)，天气=小雨，光线=明亮，噪音=安静，蓝牙=耳机，网络=wifi，日历=复习，后续事件=电子书App打开"
s00467,user_09,38,男性,养宠物,陪伴和放松,2026-05-21,19:08,19,周四,工作日,晚上,住宅区,静止,稍高,102,上升,457,好,30,11,23,多云,546,明亮,51,普通,耳机,蜂窝数据,遛宠,2026-05-21 19:08,住宅区,遛宠,宠物App打开,655,切歌,,,0.53,False,,人群专属,宠物陪伴,11,0.92,"周四 晚上 19:08，地点类型=住宅区，运动状态=静止，心率=稍高(102bpm,上升)，天气=多云，光线=明亮，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=遛宠，后续事件=宠物App打开"
s00173,user_14,34,女性,母婴用户,家庭睡眠照护,2026-04-28,14:15,14,周二,工作日,下午,住宅区,静止,波动,104,下降,361,差,23,10,55,小雨,179,室内柔光,33,安静,耳机,wifi,,,,,游戏App前台,5861,发起导航,,,0.933,False,,游戏,游戏,4,0.92,"周二 下午 14:15，地点类型=住宅区，运动状态=静止，心率=波动(104bpm,下降)，天气=小雨，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，后续事件=游戏App前台"
s00575,user_07,27,男性,母婴用户,家庭睡眠照护,2026-05-03,20:54,20,周日,周末,晚上,公园,高速,高,168,下降,257,好,31,11,2598,多云,675,明亮,57,普通,耳机,蜂窝数据,训练,2026-05-03 20:54,公园,训练,运动记录开始,4483,收藏,,,0.942,False,,健身/跑步,跑步,14,0.92,"周日 晚上 20:54，地点类型=公园，运动状态=高速，心率=高(168bpm,下降)，天气=多云，光线=明亮，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=训练，后续事件=运动记录开始"
s00116,user_20,21,男性,学生,学习专注,2026-05-23,18:16,18,周六,周末,晚上,酒店,高速,波动,113,上升,465,一般,92,14,2127,小雨,869,明亮,81,嘈杂,耳机,wifi,力量训练,2026-05-23 18:16,酒店,力量训练,健身记录开始,1104,调低音量,,,0.667,False,,健身/跑步,健身,2,0.92,"周六 晚上 18:16，地点类型=酒店，运动状态=高速，心率=波动(113bpm,上升)，天气=小雨，光线=明亮，噪音=嘈杂，蓝牙=耳机，网络=wifi，日历=力量训练，后续事件=健身记录开始"
s00366,user_02,36,男性,母婴用户,家庭睡眠照护,2026-04-29,21:47,21,周三,工作日,晚上,酒店,静止,静息,78,波动,423,差,10,22,61,小雨,186,室内柔光,45,安静,家用音响,wifi,哄睡,2026-04-29 21:47,酒店,哄睡,白噪音App打开,2687,发起导航,,,0.507,False,,深睡眠/睡午觉/婴儿安睡,婴儿安睡,9,0.92,"周三 晚上 21:47，地点类型=酒店，运动状态=静止，心率=静息(78bpm,波动)，天气=小雨，光线=室内柔光，噪音=安静，蓝牙=家用音响，网络=wifi，日历=哄睡，后续事件=白噪音App打开"
s00716,user_20,36,男性,母婴用户,家庭睡眠照护,2026-05-11,23:20,23,周一,工作日,深夜,住宅区,静止,波动,134,稳定,339,差,16,22,43,小雨,39,暗光,39,安静,耳机,wifi,,,,,音乐App主动播放,3034,发起导航,,,0.583,False,,放松/减压/深夜EMO,深夜EMO,17,0.92,"周一 深夜 23:20，地点类型=住宅区，运动状态=静止，心率=波动(134bpm,稳定)，天气=小雨，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，后续事件=音乐App主动播放"
s00230,user_14,43,男性,任意,日常音乐推荐,2026-05-09,09:33,9,周六,周末,上午,写字楼,静止,静息,75,下降,398,一般,21,22,58,小雨,69,室内柔光,45,安静,耳机,wifi,项目截止,2026-05-09 09:33,写字楼,项目截止,办公App前台,3436,无,,,0.943,False,,图书馆/专注/阅读,专注,5,0.92,"周六 上午 09:33，地点类型=写字楼，运动状态=静止，心率=静息(75bpm,下降)，天气=小雨，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=wifi，日历=项目截止，后续事件=办公App前台"
s00572,user_15,25,男性,任意,日常音乐推荐,2026-05-24,20:41,20,周日,周末,晚上,公园,高速,稍高,103,下降,394,差,34,10,1118,小雨,1070,明亮,56,普通,耳机,蜂窝数据,跑步,2026-05-24 20:41,公园,跑步,运动记录开始,5159,无,,,0.292,True,运动类场景但心率未达到高强度,健身/跑步,跑步,14,0.74,"周日 晚上 20:41，地点类型=公园，运动状态=高速，心率=稍高(103bpm,下降)，天气=小雨，光线=明亮，噪音=普通，蓝牙=耳机，网络=蜂窝数据，日历=跑步，后续事件=运动记录开始"
s00048,user_07,30,男性,母婴用户,家庭睡眠照护,2026-05-23,17:18,17,周六,周末,下午,图书馆,静止,静息,64,稳定,269,差,23,13,0,晴,62,室内柔光,41,安静,耳机,蜂窝数据,考试周,2026-05-23 17:18,图书馆,考试周,学习App打开,3041,无,,,0.302,False,,图书馆/专注/阅读,图书馆,1,0.87,"周六 下午 17:18，地点类型=图书馆，运动状态=静止，心率=静息(64bpm,稳定)，天气=晴，光线=室内柔光，噪音=安静，蓝牙=耳机，网络=蜂窝数据，日历=考试周，后续事件=学习App打开"
s00516,user_16,29,女性,女性,情绪和身体舒缓,2026-05-15,21:54,21,周五,工作日,晚上,酒店,静止,波动,76,波动,545,差,35,16,8,多云,7,暗光,41,安静,家用音响,wifi,休息,2026-05-15 21:54,酒店,休息,健康App经期记录,905,无,,,0.494,False,,人群专属,经期舒缓,12,0.92,"周五 晚上 21:54，地点类型=酒店，运动状态=静止，心率=波动(76bpm,波动)，天气=多云，光线=暗光，噪音=安静，蓝牙=家用音响，网络=wifi，日历=休息，后续事件=健康App经期记录"
s00705,user_02,26,男性,养宠物,陪伴和放松,2026-05-18,02:39,2,周一,工作日,凌晨,住宅区,静止,波动,116,稳定,420,好,18,12,7,阴,21,暗光,29,安静,耳机,wifi,失眠,2026-05-18 02:39,住宅区,失眠,音乐App主动播放,6046,继续播放,,,0.598,False,,放松/减压/深夜EMO,深夜EMO,17,0.92,"周一 凌晨 02:39，地点类型=住宅区，运动状态=静止，心率=波动(116bpm,稳定)，天气=阴，光线=暗光，噪音=安静，蓝牙=耳机，网络=wifi，日历=失眠，后续事件=音乐App主动播放"
s00145,user_19,24,男性,学生,学习专注,2026-04-26,18:43,18,周日,周末,晚上,地铁站,中速,静息,61,下降,393,差,0,22,1237,晴,506,明亮,77,嘈杂,耳机,蜂窝数据,出差,2026-04-26 18:43,地铁站,出差,地图导航开始,4699,无,,,0.725,False,,通勤,通勤,3,0.92,"周日 晚上 18:43，地点类型=地铁站，运动状态=中速，心率=静息(61bpm,下降)，天气=晴，光线=明亮，噪音=嘈杂，蓝牙=耳机，网络=蜂窝数据，日历=出差，后续事件=地图导航开始"
s00371,user_13,28,女性,母婴用户,家庭睡眠照护,2026-05-17,13:30,13,周日,周末,中午,住宅区,慢速,静息,57,稳定,337,一般,26,22,413,晴,17,暗光,36,安静,家用音响,蜂窝数据,宝宝睡觉,2026-05-17 13:30,住宅区,宝宝睡觉,白噪音App打开,9679,调低音量,,,0.678,False,,深睡眠/睡午觉/婴儿安睡,婴儿安睡,9,0.92,"周日 中午 13:30，地点类型=住宅区，运动状态=慢速，心率=静息(57bpm,稳定)，天气=晴，光线=暗光，噪音=安静，蓝牙=家用音响，网络=蜂窝数据，日历=宝宝睡觉，后续事件=白噪音App打开"
s00151,user_18,30,女性,女性,情绪和身体舒缓,2026-04-21,08:29,8,周二,工作日,早晨,地铁站,慢速,稍高,98,波动,233,好,5,16,428,晴,440,明亮,49,普通,耳机,wifi,出差,2026-04-21 08:29,地铁站,出差,打车App打开,906,切歌,,,0.45,False,,通勤,通勤,3,0.92,"周二 早晨 08:29，地点类型=地铁站，运动状态=慢速，心率=稍高(98bpm,波动)，天气=晴，光线=明亮，噪音=普通，蓝牙=耳机，网络=wifi，日历=出差，后续事件=打车App打开"
s00354,user_23,31,女性,养宠物,陪伴和放松,2026-05-09,13:56,13,周六,周末,中午,公园,慢速,稍高,95,稳定,306,好,3,22,443,晴,37,暗光,56,普通,耳机,wifi,会议,2026-05-09 13:56,公园,会议,音乐App主动播放,2022,收藏,,,0.949,False,,放松/减压/深夜EMO,减压,8,0.92,"周六 中午 13:56，地点类型=公园，运动状态=慢速，心率=稍高(95bpm,稳定)，天气=晴，光线=暗光，噪音=普通，蓝牙=耳机，网络=wifi，日历=会议，后续事件=音乐App主动播放"
s00243,user_18,29,女性,母婴用户,家庭睡眠照护,2026-05-09,10:40,10,周六,周末,上午,公园,静止,静息,70,稳定,251,好,29,11,59,阴,456,明亮,36,安静,家用音响,蜂窝数据,读书会,2026-05-09 10:40,公园,读书会,电子书App打开,2586,调低音量,,,0.36,False,,图书馆/专注/阅读,阅读,6,0.92,"周六 上午 10:40，地点类型=公园，运动状态=静止，心率=静息(70bpm,稳定)，天气=阴，光线=明亮，噪音=安静，蓝牙=家用音响，网络=蜂窝数据，日历=读书会，后续事件=电子书App打开"
s00010,user_14,20,女性,学生,学习专注,2026-05-17,19:06,19,周日,周末,晚上,公园,慢速,稍高,108,波动,318,好,34,16,431,晴,1,暗光,42,安静,耳机,蜂窝数据,,,,,,729,切歌,,,0.618,False,,放松/减压/深夜EMO,放松,0,0.92,"周日 晚上 19:06，地点类型=公园，运动状态=慢速，心率=稍高(108bpm,波动)，天气=晴，光线=暗光，噪音=安静，蓝牙=耳机，网络=蜂窝数据"
